資料年月,縣市,車種類別,數量
201503,臺北市,小型輕型機車,0
201503,臺北市,汽車,1526422
201503,臺北市,普通重型機車,1082792
201503,臺北市,普通輕型機車,124134
201503,臺北市,普通駕照,1479023
201503,臺北市,機車,1243368
201503,臺北市,職業駕照,47399
201504,臺北市,大型重型機車,36891
201504,臺北市,小型輕型機車,0
201504,臺北市,汽車,1527828
201504,臺北市,普通重型機車,1083199
201504,臺北市,普通輕型機車,123821
201504,臺北市,普通駕照,1480538
201504,臺北市,機車,1243911
201504,臺北市,職業駕照,47290
201505,臺北市,大型重型機車,37304
201505,臺北市,小型輕型機車,1
201505,臺北市,汽車,1529795
201505,臺北市,普通重型機車,1084179
201505,臺北市,普通輕型機車,123572
201505,臺北市,普通駕照,1482595
201505,臺北市,機車,1245056
201505,臺北市,職業駕照,47200
201506,臺北市,大型重型機車,37786
201506,臺北市,小型輕型機車,0
201506,臺北市,汽車,1532283
201506,臺北市,普通重型機車,1087451
201506,臺北市,普通輕型機車,123360
201506,臺北市,普通駕照,1485175
201506,臺北市,機車,1248597
201506,臺北市,職業駕照,47108
201507,臺北市,大型重型機車,38350
201507,臺北市,小型輕型機車,0
201507,臺北市,汽車,1534248
201507,臺北市,普通重型機車,1088619
201507,臺北市,普通輕型機車,123049
201507,臺北市,普通駕照,1487259
201507,臺北市,機車,1250018
201507,臺北市,職業駕照,46989
201508,臺北市,大型重型機車,38785
201508,臺北市,小型輕型機車,0
201508,臺北市,汽車,1537502
201508,臺北市,普通重型機車,1089509
201508,臺北市,普通輕型機車,122821
201508,臺北市,普通駕照,1490550
201508,臺北市,機車,1251115
201508,臺北市,職業駕照,46952
201509,臺北市,大型重型機車,39172
201509,臺北市,小型輕型機車,0
201509,臺北市,汽車,1540089
201509,臺北市,普通重型機車,1090049
201509,臺北市,普通輕型機車,122603
201509,臺北市,普通駕照,1493228
201509,臺北市,機車,1251824
201509,臺北市,職業駕照,46861
201510,臺北市,大型重型機車,39705
201510,臺北市,小型輕型機車,0
201510,臺北市,汽車,1542382
201510,臺北市,普通重型機車,1090711
201510,臺北市,普通輕型機車,122418
201510,臺北市,普通駕照,1495558
201510,臺北市,機車,1252834
201510,臺北市,職業駕照,46824
201511,臺北市,大型重型機車,40194
201511,臺北市,小型輕型機車,0
201511,臺北市,汽車,1544000
201511,臺北市,普通重型機車,1091468
201511,臺北市,普通輕型機車,122187
201511,臺北市,普通駕照,1497233
201511,臺北市,機車,1253849
201511,臺北市,職業駕照,46767
201512,臺北市,大型重型機車,40788
201512,臺北市,小型輕型機車,0
201512,臺北市,汽車,1545368
201512,臺北市,普通重型機車,1092031
201512,臺北市,普通輕型機車,121750
201512,臺北市,普通駕照,1498657
201512,臺北市,機車,1254569
201512,臺北市,職業駕照,46711
201601,臺北市,大型重型機車,41159
201601,臺北市,小型輕型機車,0
201601,臺北市,汽車,1546312
201601,臺北市,普通重型機車,1092304
201601,臺北市,普通輕型機車,121505
201601,臺北市,普通駕照,1499657
201601,臺北市,機車,1254968
201601,臺北市,職業駕照,46655
201602,臺北市,大型重型機車,41366
201602,臺北市,小型輕型機車,0
201602,臺北市,汽車,1547858
201602,臺北市,普通重型機車,1092829
201602,臺北市,普通輕型機車,121392
201602,臺北市,普通駕照,1501310
201602,臺北市,機車,1255587
201602,臺北市,職業駕照,46548
201603,臺北市,大型重型機車,41831
201603,臺北市,小型輕型機車,0
201603,臺北市,汽車,1549514
201603,臺北市,普通重型機車,1093339
201603,臺北市,普通輕型機車,121138
201603,臺北市,普通駕照,1503049
201603,臺北市,機車,1256308
201603,臺北市,職業駕照,46465
201604,臺北市,大型重型機車,42168
201604,臺北市,小型輕型機車,0
201604,臺北市,汽車,1551325
201604,臺北市,普通重型機車,1094328
201604,臺北市,普通輕型機車,120796
201604,臺北市,普通駕照,1504877
201604,臺北市,機車,1257292
201604,臺北市,職業駕照,46448
201605,臺北市,大型重型機車,42630
201605,臺北市,小型輕型機車,0
201605,臺北市,汽車,1553254
201605,臺北市,普通重型機車,1097513
201605,臺北市,普通輕型機車,120060
201605,臺北市,普通駕照,1506839
201605,臺北市,機車,1260203
201605,臺北市,職業駕照,46415
201606,臺北市,大型重型機車,43045
201606,臺北市,小型輕型機車,0
201606,臺北市,汽車,1555407
201606,臺北市,普通重型機車,1097896
201606,臺北市,普通輕型機車,119923
201606,臺北市,普通駕照,1509024
201606,臺北市,機車,1260864
201606,臺北市,職業駕照,46383
201607,臺北市,大型重型機車,43452
201607,臺北市,小型輕型機車,0
201607,臺北市,汽車,1557924
201607,臺北市,普通重型機車,1098338
201607,臺北市,普通輕型機車,119768
201607,臺北市,普通駕照,1511577
201607,臺北市,機車,1261558
201607,臺北市,職業駕照,46347
201608,臺北市,大型重型機車,43911
201608,臺北市,小型輕型機車,0
201608,臺北市,汽車,1559588
201608,臺北市,普通重型機車,1097400
201608,臺北市,普通輕型機車,119409
201608,臺北市,普通駕照,1513333
201608,臺北市,機車,1260720
201608,臺北市,職業駕照,46255
201609,臺北市,大型重型機車,44222
201609,臺北市,小型輕型機車,0
201609,臺北市,汽車,1562461
201609,臺北市,普通重型機車,1097902
201609,臺北市,普通輕型機車,119289
201609,臺北市,普通駕照,1516286
201609,臺北市,機車,1261413
201609,臺北市,職業駕照,46175
201610,臺北市,大型重型機車,44581
201610,臺北市,小型輕型機車,0
201610,臺北市,汽車,1565404
201610,臺北市,普通重型機車,1098699
201610,臺北市,普通輕型機車,119157
201610,臺北市,普通駕照,1519271
201610,臺北市,機車,1262437
201610,臺北市,職業駕照,46133
201611,臺北市,大型重型機車,44943
201611,臺北市,小型輕型機車,0
201611,臺北市,汽車,1567577
201611,臺北市,普通重型機車,1099061
201611,臺北市,普通輕型機車,119043
201611,臺北市,普通駕照,1521523
201611,臺北市,機車,1263047
201611,臺北市,職業駕照,46054
201612,臺北市,大型重型機車,45303
201612,臺北市,小型輕型機車,0
201612,臺北市,汽車,1570043
201612,臺北市,普通重型機車,1099599
201612,臺北市,普通輕型機車,118924
201612,臺北市,普通駕照,1524004
201612,臺北市,機車,1263826
201612,臺北市,職業駕照,46039
201701,臺北市,大型重型機車,45625
201701,臺北市,小型輕型機車,0
201701,臺北市,汽車,1571314
201701,臺北市,普通重型機車,1099464
201701,臺北市,普通輕型機車,118813
201701,臺北市,普通駕照,1525397
201701,臺北市,機車,1263902
201701,臺北市,職業駕照,45917
201702,臺北市,大型重型機車,45895
201702,臺北市,小型輕型機車,0
201702,臺北市,汽車,1573064
201702,臺北市,普通重型機車,1100462
201702,臺北市,普通輕型機車,118746
201702,臺北市,普通駕照,1527209
201702,臺北市,機車,1265103
201702,臺北市,職業駕照,45855
201703,臺北市,大型重型機車,46343
201703,臺北市,小型輕型機車,0
201703,臺北市,汽車,1576293
201703,臺北市,普通重型機車,1101355
201703,臺北市,普通輕型機車,118678
201703,臺北市,普通駕照,1530390
201703,臺北市,機車,1266376
201703,臺北市,職業駕照,45903
201704,臺北市,大型重型機車,46629
201704,臺北市,小型輕型機車,0
201704,臺北市,汽車,1578724
201704,臺北市,普通重型機車,1101817
201704,臺北市,普通輕型機車,118576
201704,臺北市,普通駕照,1532827
201704,臺北市,機車,1267022
201704,臺北市,職業駕照,45897
201705,臺北市,大型重型機車,47011
201705,臺北市,小型輕型機車,0
201705,臺北市,汽車,1583675
201705,臺北市,普通重型機車,1103379
201705,臺北市,普通輕型機車,118525
201705,臺北市,普通駕照,1537712
201705,臺北市,機車,1268915
201705,臺北市,職業駕照,45963
201706,臺北市,大型重型機車,47370
201706,臺北市,小型輕型機車,0
201706,臺北市,汽車,1586659
201706,臺北市,普通重型機車,1104975
201706,臺北市,普通輕型機車,118457
201706,臺北市,普通駕照,1540796
201706,臺北市,機車,1270802
201706,臺北市,職業駕照,45863
201707,臺北市,大型重型機車,47750
201707,臺北市,小型輕型機車,0
201707,臺北市,汽車,1588852
201707,臺北市,普通重型機車,1107132
201707,臺北市,普通輕型機車,118358
201707,臺北市,普通駕照,1543185
201707,臺北市,機車,1273240
201707,臺北市,職業駕照,45667
201708,臺北市,大型重型機車,48241
201708,臺北市,小型輕型機車,0
201708,臺北市,汽車,1592450
201708,臺北市,普通重型機車,1109145
201708,臺北市,普通輕型機車,118187
201708,臺北市,普通駕照,1546747
201708,臺北市,機車,1275573
201708,臺北市,職業駕照,45703
201709,臺北市,大型重型機車,48571
201709,臺北市,小型輕型機車,0
201709,臺北市,汽車,1595887
201709,臺北市,普通重型機車,1110894
201709,臺北市,普通輕型機車,118107
201709,臺北市,普通駕照,1550083
201709,臺北市,機車,1277572
201709,臺北市,職業駕照,45804
201710,臺北市,大型重型機車,48908
201710,臺北市,小型輕型機車,0
201710,臺北市,汽車,1597665
201710,臺北市,普通重型機車,1111964
201710,臺北市,普通輕型機車,118052
201710,臺北市,普通駕照,1551815
201710,臺北市,機車,1278924
201710,臺北市,職業駕照,45850
201711,臺北市,大型重型機車,49208
201711,臺北市,小型輕型機車,0
201711,臺北市,汽車,1599072
201711,臺北市,普通重型機車,1112980
201711,臺北市,普通輕型機車,117982
201711,臺北市,普通駕照,1553288
201711,臺北市,機車,1280170
201711,臺北市,職業駕照,45784
201712,臺北市,大型重型機車,49452
201712,臺北市,小型輕型機車,0
201712,臺北市,汽車,1600666
201712,臺北市,普通重型機車,1113965
201712,臺北市,普通輕型機車,117926
201712,臺北市,普通駕照,1554950
201712,臺北市,機車,1281343
201712,臺北市,職業駕照,45716
201801,臺北市,大型重型機車,49662
201801,臺北市,小型輕型機車,0
201801,臺北市,汽車,1600650
201801,臺北市,普通重型機車,1113116
201801,臺北市,普通輕型機車,117553
201801,臺北市,普通駕照,1554923
201801,臺北市,機車,1280331
201801,臺北市,職業駕照,45727
201802,臺北市,大型重型機車,49745
201802,臺北市,小型輕型機車,0
201802,臺北市,汽車,1600827
201802,臺北市,普通重型機車,1113377
201802,臺北市,普通輕型機車,117474
201802,臺北市,普通駕照,1555261
201802,臺北市,機車,1280596
201802,臺北市,職業駕照,45566
201803,臺北市,大型重型機車,50061
201803,臺北市,小型輕型機車,0
201803,臺北市,汽車,1603551
201803,臺北市,普通重型機車,1114823
201803,臺北市,普通輕型機車,117368
201803,臺北市,普通駕照,1557811
201803,臺北市,機車,1282252
201803,臺北市,職業駕照,45740
201804,臺北市,大型重型機車,50347
201804,臺北市,小型輕型機車,0
201804,臺北市,汽車,1604661
201804,臺北市,普通重型機車,1115053
201804,臺北市,普通輕型機車,117251
201804,臺北市,普通駕照,1558970
201804,臺北市,機車,1282651
201804,臺北市,職業駕照,45691
201805,臺北市,大型重型機車,50685
201805,臺北市,小型輕型機車,0
201805,臺北市,汽車,1606315
201805,臺北市,普通重型機車,1116036
201805,臺北市,普通輕型機車,117104
201805,臺北市,普通駕照,1560612
201805,臺北市,機車,1283825
201805,臺北市,職業駕照,45703
201806,臺北市,大型重型機車,50992
201806,臺北市,小型輕型機車,0
201806,臺北市,汽車,1608115
201806,臺北市,普通重型機車,1117246
201806,臺北市,普通輕型機車,116997
201806,臺北市,普通駕照,1562420
201806,臺北市,機車,1285235
201806,臺北市,職業駕照,45695
201807,臺北市,大型重型機車,51314
201807,臺北市,小型輕型機車,0
201807,臺北市,汽車,1609619
201807,臺北市,普通重型機車,1118550
201807,臺北市,普通輕型機車,116828
201807,臺北市,普通駕照,1563957
201807,臺北市,機車,1286692
201807,臺北市,職業駕照,45662
201808,臺北市,大型重型機車,51745
201808,臺北市,小型輕型機車,0
201808,臺北市,汽車,1613038
201808,臺北市,普通重型機車,1120605
201808,臺北市,普通輕型機車,116697
201808,臺北市,普通駕照,1567339
201808,臺北市,機車,1289047
201808,臺北市,職業駕照,45699
201809,臺北市,大型重型機車,52011
201809,臺北市,小型輕型機車,0
201809,臺北市,汽車,1615377
201809,臺北市,普通重型機車,1121319
201809,臺北市,普通輕型機車,116589
201809,臺北市,普通駕照,1569699
201809,臺北市,機車,1289919
201809,臺北市,職業駕照,45678
201810,臺北市,大型重型機車,52267
201810,臺北市,小型輕型機車,0
201810,臺北市,汽車,1616538
201810,臺北市,普通重型機車,1122225
201810,臺北市,普通輕型機車,116468
201810,臺北市,普通駕照,1570913
201810,臺北市,機車,1290960
201810,臺北市,職業駕照,45625
201811,臺北市,大型重型機車,52505
201811,臺北市,小型輕型機車,0
201811,臺北市,汽車,1616883
201811,臺北市,普通重型機車,1122805
201811,臺北市,普通輕型機車,116313
201811,臺北市,普通駕照,1571226
201811,臺北市,機車,1291623
201811,臺北市,職業駕照,45657
201812,臺北市,大型重型機車,52702
201812,臺北市,小型輕型機車,0
201812,臺北市,汽車,1617787
201812,臺北市,普通重型機車,1123431
201812,臺北市,普通輕型機車,116146
201812,臺北市,普通駕照,1572157
201812,臺北市,機車,1292279
201812,臺北市,職業駕照,45630
201901,臺北市,大型重型機車,52958
201901,臺北市,小型輕型機車,0
201901,臺北市,汽車,1618721
201901,臺北市,普通重型機車,1124072
201901,臺北市,普通輕型機車,116059
201901,臺北市,普通駕照,1573082
201901,臺北市,機車,1293089
201901,臺北市,職業駕照,45639
201902,臺北市,大型重型機車,53101
201902,臺北市,小型輕型機車,0
201902,臺北市,汽車,1619162
201902,臺北市,普通重型機車,1124624
201902,臺北市,普通輕型機車,115990
201902,臺北市,普通駕照,1573548
201902,臺北市,機車,1293715
201902,臺北市,職業駕照,45614
201903,臺北市,大型重型機車,53364
201903,臺北市,小型輕型機車,0
201903,臺北市,汽車,1619638
201903,臺北市,普通重型機車,1125062
201903,臺北市,普通輕型機車,115859
201903,臺北市,普通駕照,1574421
201903,臺北市,機車,1294285
201903,臺北市,職業駕照,45217
201904,臺北市,大型重型機車,53576
201904,臺北市,小型輕型機車,0
201904,臺北市,汽車,1621045
201904,臺北市,普通重型機車,1125976
201904,臺北市,普通輕型機車,115719
201904,臺北市,普通駕照,1575897
201904,臺北市,機車,1295271
201904,臺北市,職業駕照,45148
201905,臺北市,大型重型機車,53798
201905,臺北市,小型輕型機車,0
201905,臺北市,汽車,1621753
201905,臺北市,普通重型機車,1126627
201905,臺北市,普通輕型機車,115525
201905,臺北市,普通駕照,1576605
201905,臺北市,機車,1295950
201905,臺北市,職業駕照,45148
201906,臺北市,大型重型機車,53986
201906,臺北市,小型輕型機車,0
201906,臺北市,汽車,1622838
201906,臺北市,普通重型機車,1127089
201906,臺北市,普通輕型機車,115425
201906,臺北市,普通駕照,1577762
201906,臺北市,機車,1296500
201906,臺北市,職業駕照,45076
201907,臺北市,大型重型機車,54265
201907,臺北市,小型輕型機車,0
201907,臺北市,汽車,1624904
201907,臺北市,普通重型機車,1128007
201907,臺北市,普通輕型機車,115256
201907,臺北市,普通駕照,1579823
201907,臺北市,機車,1297528
201907,臺北市,職業駕照,45081
201908,臺北市,大型重型機車,54504
201908,臺北市,小型輕型機車,0
201908,臺北市,汽車,1628192
201908,臺北市,普通重型機車,1129080
201908,臺北市,普通輕型機車,115116
201908,臺北市,普通駕照,1583144
201908,臺北市,機車,1298700
201908,臺北市,職業駕照,45048
201909,臺北市,大型重型機車,54677
201909,臺北市,小型輕型機車,0
201909,臺北市,汽車,1629886
201909,臺北市,普通重型機車,1129973
201909,臺北市,普通輕型機車,114989
201909,臺北市,普通駕照,1584886
201909,臺北市,機車,1299639
201909,臺北市,職業駕照,45000
201910,臺北市,大型重型機車,54925
201910,臺北市,小型輕型機車,0
201910,臺北市,汽車,1630783
201910,臺北市,普通重型機車,1130756
201910,臺北市,普通輕型機車,114824
201910,臺北市,普通駕照,1585828
201910,臺北市,機車,1300505
201910,臺北市,職業駕照,44955
201911,臺北市,大型重型機車,55140
201911,臺北市,小型輕型機車,0
201911,臺北市,汽車,1630962
201911,臺北市,普通重型機車,1131068
201911,臺北市,普通輕型機車,114622
201911,臺北市,普通駕照,1586088
201911,臺北市,機車,1300830
201911,臺北市,職業駕照,44874
201912,臺北市,大型重型機車,55347
201912,臺北市,小型輕型機車,0
201912,臺北市,汽車,1631790
201912,臺北市,普通重型機車,1131554
201912,臺北市,普通輕型機車,114508
201912,臺北市,普通駕照,1586966
201912,臺北市,機車,1301409
201912,臺北市,職業駕照,44824
202001,臺北市,大型重型機車,55511
202001,臺北市,小型輕型機車,0
202001,臺北市,汽車,1630986
202001,臺北市,普通重型機車,1131242
202001,臺北市,普通輕型機車,114380
202001,臺北市,普通駕照,1586269
202001,臺北市,機車,1301133
202001,臺北市,職業駕照,44717
202002,臺北市,大型重型機車,55809
202002,臺北市,小型輕型機車,0
202002,臺北市,汽車,1631169
202002,臺北市,普通重型機車,1131972
202002,臺北市,普通輕型機車,114269
202002,臺北市,普通駕照,1586493
202002,臺北市,機車,1302050
202002,臺北市,職業駕照,44676
202003,臺北市,大型重型機車,56148
202003,臺北市,小型輕型機車,0
202003,臺北市,汽車,1631095
202003,臺北市,普通重型機車,1132274
202003,臺北市,普通輕型機車,114088
202003,臺北市,普通駕照,1586553
202003,臺北市,機車,1302510
202003,臺北市,職業駕照,44542
202004,臺北市,大型重型機車,56393
202004,臺北市,小型輕型機車,0
202004,臺北市,汽車,1631499
202004,臺北市,普通重型機車,1132266
202004,臺北市,普通輕型機車,113896
202004,臺北市,普通駕照,1587072
202004,臺北市,機車,1302555
202004,臺北市,職業駕照,44427
202005,臺北市,大型重型機車,56719
202005,臺北市,小型輕型機車,0
202005,臺北市,汽車,1632311
202005,臺北市,普通重型機車,1132604
202005,臺北市,普通輕型機車,113758
202005,臺北市,普通駕照,1587883
202005,臺北市,機車,1303081
202005,臺北市,職業駕照,44428
202006,臺北市,大型重型機車,57089
202006,臺北市,小型輕型機車,0
202006,臺北市,汽車,1633436
202006,臺北市,普通重型機車,1133173
202006,臺北市,普通輕型機車,113635
202006,臺北市,普通駕照,1589023
202006,臺北市,機車,1303897
202006,臺北市,職業駕照,44413
202007,臺北市,大型重型機車,57519
202007,臺北市,小型輕型機車,0
202007,臺北市,汽車,1634928
202007,臺北市,普通重型機車,1133781
202007,臺北市,普通輕型機車,113463
202007,臺北市,普通駕照,1590614
202007,臺北市,機車,1304763
202007,臺北市,職業駕照,44314
202008,臺北市,大型重型機車,57962
202008,臺北市,小型輕型機車,0
202008,臺北市,汽車,1636897
202008,臺北市,普通重型機車,1134750
202008,臺北市,普通輕型機車,113292
202008,臺北市,普通駕照,1592725
202008,臺北市,機車,1306004
202008,臺北市,職業駕照,44172
202009,臺北市,大型重型機車,58293
202009,臺北市,小型輕型機車,0
202009,臺北市,汽車,1638814
202009,臺北市,普通重型機車,1135504
202009,臺北市,普通輕型機車,113101
202009,臺北市,普通駕照,1594754
202009,臺北市,機車,1306898
202009,臺北市,職業駕照,44060
202010,臺北市,大型重型機車,58564
202010,臺北市,小型輕型機車,0
202010,臺北市,汽車,1640035
202010,臺北市,普通重型機車,1136077
202010,臺北市,普通輕型機車,112956
202010,臺北市,普通駕照,1596035
202010,臺北市,機車,1307597
202010,臺北市,職業駕照,44000
202011,臺北市,大型重型機車,58860
202011,臺北市,小型輕型機車,0
202011,臺北市,汽車,1640234
202011,臺北市,普通重型機車,1136564
202011,臺北市,普通輕型機車,112717
202011,臺北市,普通駕照,1596287
202011,臺北市,機車,1308141
202011,臺北市,職業駕照,43947
202012,臺北市,大型重型機車,59119
202012,臺北市,小型輕型機車,0
202012,臺北市,汽車,1640977
202012,臺北市,普通重型機車,1136697
202012,臺北市,普通輕型機車,112557
202012,臺北市,普通駕照,1597147
202012,臺北市,機車,1308373
202012,臺北市,職業駕照,43830
202101,臺北市,大型重型機車,59284
202101,臺北市,小型輕型機車,0
202101,臺北市,汽車,1641025
202101,臺北市,普通重型機車,1136813
202101,臺北市,普通輕型機車,112395
202101,臺北市,普通駕照,1597291
202101,臺北市,機車,1308492
202101,臺北市,職業駕照,43734
202102,臺北市,大型重型機車,59471
202102,臺北市,小型輕型機車,0
202102,臺北市,汽車,1640983
202102,臺北市,普通重型機車,1137073
202102,臺北市,普通輕型機車,112256
202102,臺北市,普通駕照,1597333
202102,臺北市,機車,1308800
202102,臺北市,職業駕照,43650
202103,臺北市,大型重型機車,59948
202103,臺北市,小型輕型機車,0
202103,臺北市,汽車,1640828
202103,臺北市,普通重型機車,1137036
202103,臺北市,普通輕型機車,112034
202103,臺北市,普通駕照,1597226
202103,臺北市,機車,1309018
202103,臺北市,職業駕照,43602
202104,臺北市,大型重型機車,60326
202104,臺北市,小型輕型機車,0
202104,臺北市,汽車,1640686
202104,臺北市,普通重型機車,1137630
202104,臺北市,普通輕型機車,111628
202104,臺北市,普通駕照,1597140
202104,臺北市,機車,1309584
202104,臺北市,職業駕照,43546
202105,臺北市,大型重型機車,60493
202105,臺北市,小型輕型機車,0
202105,臺北市,汽車,1640119
202105,臺北市,普通重型機車,1137652
202105,臺北市,普通輕型機車,111405
202105,臺北市,普通駕照,1596706
202105,臺北市,機車,1309550
202105,臺北市,職業駕照,43413
202106,臺北市,大型重型機車,60428
202106,臺北市,小型輕型機車,0
202106,臺北市,汽車,1638539
202106,臺北市,普通重型機車,1136969
202106,臺北市,普通輕型機車,111281
202106,臺北市,普通駕照,1595279
202106,臺北市,機車,1308678
202106,臺北市,職業駕照,43260
202107,臺北市,大型重型機車,60624
202107,臺北市,小型輕型機車,0
202107,臺北市,汽車,1637762
202107,臺北市,普通重型機車,1136359
202107,臺北市,普通輕型機車,111183
202107,臺北市,普通駕照,1594681
202107,臺北市,機車,1308166
202107,臺北市,職業駕照,43081
202108,臺北市,大型重型機車,61084
202108,臺北市,小型輕型機車,0
202108,臺北市,汽車,1627644
202108,臺北市,普通重型機車,1128954
202108,臺北市,普通輕型機車,110267
202108,臺北市,普通駕照,1584731
202108,臺北市,機車,1300305
202108,臺北市,職業駕照,42913
202109,臺北市,大型重型機車,61455
202109,臺北市,小型輕型機車,0
202109,臺北市,汽車,1627103
202109,臺北市,普通重型機車,1128546
202109,臺北市,普通輕型機車,109981
202109,臺北市,普通駕照,1584326
202109,臺北市,機車,1299982
202109,臺北市,職業駕照,42777
202110,臺北市,大型重型機車,61774
202110,臺北市,小型輕型機車,0
202110,臺北市,汽車,1628281
202110,臺北市,普通重型機車,1128763
202110,臺北市,普通輕型機車,109813
202110,臺北市,普通駕照,1585631
202110,臺北市,機車,1300350
202110,臺北市,職業駕照,42650
202111,臺北市,大型重型機車,62062
202111,臺北市,小型輕型機車,0
202111,臺北市,汽車,1628979
202111,臺北市,普通重型機車,1128727
202111,臺北市,普通輕型機車,109639
202111,臺北市,普通駕照,1586452
202111,臺北市,機車,1300428
202111,臺北市,職業駕照,42527
202112,臺北市,大型重型機車,62377
202112,臺北市,小型輕型機車,0
202112,臺北市,汽車,1629221
202112,臺北市,普通重型機車,1128228
202112,臺北市,普通輕型機車,109456
202112,臺北市,普通駕照,1586855
202112,臺北市,機車,1300061
202112,臺北市,職業駕照,42366
202201,臺北市,大型重型機車,62590
202201,臺北市,小型輕型機車,0
202201,臺北市,汽車,1628887
202201,臺北市,普通重型機車,1127869
202201,臺北市,普通輕型機車,109338
202201,臺北市,普通駕照,1586616
202201,臺北市,機車,1299797
202201,臺北市,職業駕照,42271
202202,臺北市,大型重型機車,62789
202202,臺北市,小型輕型機車,0
202202,臺北市,汽車,1628046
202202,臺北市,普通重型機車,1127158
202202,臺北市,普通輕型機車,109202
202202,臺北市,普通駕照,1585935
202202,臺北市,機車,1299149
202202,臺北市,職業駕照,42111
202203,臺北市,大型重型機車,63137
202203,臺北市,小型輕型機車,0
202203,臺北市,汽車,1627763
202203,臺北市,普通重型機車,1126810
202203,臺北市,普通輕型機車,109024
202203,臺北市,普通駕照,1585818
202203,臺北市,機車,1298971
202203,臺北市,職業駕照,41945
202204,臺北市,大型重型機車,63296
202204,臺北市,小型輕型機車,0
202204,臺北市,汽車,1626427
202204,臺北市,普通重型機車,1125614
202204,臺北市,普通輕型機車,108794
202204,臺北市,普通駕照,1584631
202204,臺北市,機車,1297704
202204,臺北市,職業駕照,41796
202205,臺北市,大型重型機車,63547
202205,臺北市,小型輕型機車,0
202205,臺北市,汽車,1626342
202205,臺北市,普通重型機車,1125006
202205,臺北市,普通輕型機車,108599
202205,臺北市,普通駕照,1584657
202205,臺北市,機車,1297152
202205,臺北市,職業駕照,41685
202206,臺北市,大型重型機車,63811
202206,臺北市,小型輕型機車,0
202206,臺北市,汽車,1626276
202206,臺北市,普通重型機車,1124883
202206,臺北市,普通輕型機車,108428
202206,臺北市,普通駕照,1584719
202206,臺北市,機車,1297122
202206,臺北市,職業駕照,41557
202207,臺北市,大型重型機車,64165
202207,臺北市,小型輕型機車,0
202207,臺北市,汽車,1626585
202207,臺北市,普通重型機車,1125443
202207,臺北市,普通輕型機車,108259
202207,臺北市,普通駕照,1585153
202207,臺北市,機車,1297867
202207,臺北市,職業駕照,41432
202208,臺北市,總計,2924145
202208,臺北市,汽車,1626815
202208,臺北市,職業駕照,41282
202208,臺北市,普通駕照,1585533
202208,臺北市,機車,1297330
202208,臺北市,大型重型機車,64554
202208,臺北市,普通重型機車,1124832
202208,臺北市,普通輕型機車,107944
202208,臺北市,小型輕型機車,0
202209,臺北市,總計,2922647
202209,臺北市,汽車,1626102
202209,臺北市,職業駕照,41112
202209,臺北市,普通駕照,1584990
202209,臺北市,機車,1296545
202209,臺北市,大型重型機車,64806
202209,臺北市,普通重型機車,1124039
202209,臺北市,普通輕型機車,107700
202209,臺北市,小型輕型機車,0
202210,臺北市,總計,2924118
202210,臺北市,汽車,1627039
202210,臺北市,職業駕照,40986
202210,臺北市,普通駕照,1586053
202210,臺北市,機車,1297079
202210,臺北市,大型重型機車,65107
202210,臺北市,普通重型機車,1124390
202210,臺北市,普通輕型機車,107582
202210,臺北市,小型輕型機車,0
